Sample_Index,Time_s,X_Voltage,Y_Voltage,Laser_Raw,Pixel_Clock,Line_Clock,Frame_Clock,Line_Number,Pixel_In_Line
0,0.000000000,0.84552,1.66584,0.0,0,0,0,-1,-1
1,0.000001000,0.842112,1.66656,0.0,0,0,0,-1,-1
2,0.000002000,0.838704,1.6674,0.0,0,0,0,-1,-1
3,0.000003000,0.835296,1.66812,0.0,0,0,0,-1,-1
4,0.000004000,0.831888,1.66896,0.0,0,0,0,-1,-1
5,0.000005000,0.828468,1.66968,0.0,0,0,0,-1,-1
6,0.000006000,0.825048,1.67052,0.0,0,0,0,-1,-1
7,0.000007000,0.821616,1.67124,0.0,0,0,0,-1,-1
8,0.000008000,0.818196,1.67208,0.0,0,0,0,-1,-1
9,0.000009000,0.814764,1.6728,0.0,0,0,0,-1,-1
10,0.000010000,0.811332,1.67364,0.0,0,0,0,-1,-1
11,0.000011000,0.807888,1.67436,0.0,0,0,0,-1,-1
12,0.000012000,0.804456,1.6752,0.0,0,0,0,-1,-1
13,0.000013000,0.801012,1.67592,0.0,0,0,0,-1,-1
14,0.000014000,0.797568,1.67676,0.0,0,0,0,-1,-1
15,0.000015000,0.794112,1.67748,0.0,0,0,0,-1,-1
16,0.000016000,0.790656,1.67832,0.0,0,0,0,-1,-1
17,0.000017000,0.7872,1.67904,0.0,0,0,0,-1,-1
18,0.000018000,0.783744,1.67988,0.0,0,0,0,-1,-1
19,0.000019000,0.780288,1.6806,0.0,0,0,0,-1,-1
20,0.000020000,0.77682,1.68144,0.0,0,0,0,-1,-1
21,0.000021000,0.773352,1.68228,0.0,0,0,0,-1,-1
22,0.000022000,0.769872,1.683,0.0,0,0,0,-1,-1
23,0.000023000,0.766404,1.68384,0.0,0,0,0,-1,-1
24,0.000024000,0.762924,1.68456,0.0,0,0,0,-1,-1
25,0.000025000,0.759444,1.6854,0.0,0,0,0,-1,-1
26,0.000026000,0.755952,1.68624,0.0,0,0,0,-1,-1
27,0.000027000,0.75246,1.68696,0.0,0,0,0,-1,-1
28,0.000028000,0.74898,1.6878,0.0,0,0,0,-1,-1
29,0.000029000,0.745476,1.68852,0.0,0,0,0,-1,-1
30,0.000030000,0.741984,1.68936,0.0,0,0,0,-1,-1
31,0.000031000,0.73848,1.6902,0.0,0,0,0,-1,-1
32,0.000032000,0.734976,1.69092,0.0,0,0,0,-1,-1
33,0.000033000,0.73146,1.69176,0.0,0,0,0,-1,-1
34,0.000034000,0.727956,1.6926,0.0,0,0,0,-1,-1
35,0.000035000,0.72444,1.69332,0.0,0,0,0,-1,-1
36,0.000036000,0.720924,1.69416,0.0,0,0,0,-1,-1
37,0.000037000,0.717396,1.695,0.0,0,0,0,-1,-1
38,0.000038000,0.713868,1.69572,0.0,0,0,0,-1,-1
